Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score	File
5	Spectrogram 1	1	11.6	13.599000000000023	200.0	2500.0	BOAN	0.88	SMA03247_20210606_191000.wav
6	Spectrogram 1	1	22.0	23.999000000000024	200.0	2500.0	BOAN	0.83	SMA03247_20210606_191000.wav
7	Spectrogram 1	1	25.2	27.19899999999991	200.0	2500.0	BOAN	0.89	SMA03247_20210606_191000.wav
8	Spectrogram 1	1	28.0	29.999000000000024	200.0	2500.0	BOAN	0.83	SMA03247_20210606_191000.wav
9	Spectrogram 1	1	30.8	33.59900000000009	200.0	2500.0	BOAN	0.88	SMA03247_20210606_191000.wav
10	Spectrogram 1	1	32.4	35.59900000000007	200.0	2500.0	BOAN	0.93	SMA03247_20210606_191000.wav
11	Spectrogram 1	1	35.6	37.599000000000025	200.0	2500.0	BOAN	0.93	SMA03247_20210606_191000.wav
12	Spectrogram 1	1	38.4	40.39900000000002	200.0	2500.0	BOAN	0.91	SMA03247_20210606_191000.wav
13	Spectrogram 1	1	39.2	42.39899999999996	200.0	2500.0	BOAN	0.98	SMA03247_20210606_191000.wav
14	Spectrogram 1	1	41.2	43.599000000000004	200.0	2500.0	BOAN	0.76	SMA03247_20210606_191000.wav
15	Spectrogram 1	1	42.4	44.39900000000002	200.0	2500.0	BOAN	0.78	SMA03247_20210606_191000.wav
16	Spectrogram 1	1	43.6	45.599000000000025	200.0	2500.0	BOAN	0.76	SMA03247_20210606_191000.wav
17	Spectrogram 1	1	44.4	47.999000000000045	200.0	2500.0	BOAN	0.9	SMA03247_20210606_191000.wav
18	Spectrogram 1	1	46.8	51.999000000000066	200.0	2500.0	BOAN	0.99	SMA03247_20210606_191000.wav
19	Spectrogram 1	1	51.2	59.99899999999998	200.0	2500.0	BOAN	0.99	SMA03247_20210606_191000.wav
1	Spectrogram 1	1	0.0	1.9990000000000236	200.0	2500.0	BOAN	0.94	SMA03328_20210606_195000.wav
2	Spectrogram 1	1	0.8	4.399000000000046	200.0	2500.0	BOAN	0.97	SMA03328_20210606_195000.wav
3	Spectrogram 1	1	3.2	5.19899999999991	200.0	2500.0	BOAN	0.77	SMA03328_20210606_195000.wav
4	Spectrogram 1	1	4.0	5.999000000000024	200.0	2500.0	BOAN	0.89	SMA03328_20210606_195000.wav
5	Spectrogram 1	1	6.4	10.399000000000024	200.0	2500.0	BOAN	0.95	SMA03328_20210606_195000.wav
6	Spectrogram 1	1	9.2	11.599	200.0	2500.0	BOAN	0.83	SMA03328_20210606_195000.wav
7	Spectrogram 1	1	10.4	12.799000000000001	200.0	2500.0	BOAN	0.8	SMA03328_20210606_195000.wav
8	Spectrogram 1	1	13.6	16.39899999999998	200.0	2500.0	BOAN	0.96	SMA03328_20210606_195000.wav
9	Spectrogram 1	1	16.0	19.599000000000046	200.0	2500.0	BOAN	0.91	SMA03328_20210606_195000.wav
10	Spectrogram 1	1	20.4	22.799	200.0	2500.0	BOAN	0.83	SMA03328_20210606_195000.wav
11	Spectrogram 1	1	22.8	24.799000000000024	200.0	2500.0	BOAN	0.94	SMA03328_20210606_195000.wav
12	Spectrogram 1	1	23.6	26.39899999999998	200.0	2500.0	BOAN	0.9	SMA03328_20210606_195000.wav
13	Spectrogram 1	1	25.2	27.998999999999977	200.0	2500.0	BOAN	0.87	SMA03328_20210606_195000.wav
14	Spectrogram 1	1	27.2	29.998999999999977	200.0	2500.0	BOAN	0.89	SMA03328_20210606_195000.wav
15	Spectrogram 1	1	29.2	31.599	200.0	2500.0	BOAN	0.96	SMA03328_20210606_195000.wav
16	Spectrogram 1	1	32.4	34.39900000000002	200.0	2500.0	BOAN	0.8	SMA03328_20210606_195000.wav
17	Spectrogram 1	1	34.4	37.19899999999998	200.0	2500.0	BOAN	0.91	SMA03328_20210606_195000.wav
18	Spectrogram 1	1	36.0	37.999000000000024	200.0	2500.0	BOAN	0.89	SMA03328_20210606_195000.wav
19	Spectrogram 1	1	36.8	38.79900000000002	200.0	2500.0	BOAN	0.83	SMA03328_20210606_195000.wav
20	Spectrogram 1	1	37.6	41.599000000000025	200.0	2500.0	BOAN	0.94	SMA03328_20210606_195000.wav
21	Spectrogram 1	1	40.8	42.79900000000002	200.0	2500.0	BOAN	0.95	SMA03328_20210606_195000.wav
22	Spectrogram 1	1	41.6	45.198999999999934	200.0	2500.0	BOAN	0.97	SMA03328_20210606_195000.wav
23	Spectrogram 1	1	44.0	45.999000000000024	200.0	2500.0	BOAN	0.97	SMA03328_20210606_195000.wav
24	Spectrogram 1	1	44.8	49.199	200.0	2500.0	BOAN	0.95	SMA03328_20210606_195000.wav
25	Spectrogram 1	1	48.0	50.79899999999998	200.0	2500.0	BOAN	0.94	SMA03328_20210606_195000.wav
26	Spectrogram 1	1	49.6	51.999	200.0	2500.0	BOAN	0.84	SMA03328_20210606_195000.wav
27	Spectrogram 1	1	51.6	53.599000000000025	200.0	2500.0	BOAN	0.92	SMA03328_20210606_195000.wav
28	Spectrogram 1	1	52.4	54.39900000000002	200.0	2500.0	BOAN	0.95	SMA03328_20210606_195000.wav
29	Spectrogram 1	1	54.0	56.399	200.0	2500.0	BOAN	0.98	SMA03328_20210606_195000.wav
30	Spectrogram 1	1	56.0	59.999000000000024	200.0	2500.0	BOAN	0.96	SMA03328_20210606_195000.wav
1	Spectrogram 1	1	1.2	3.599000000000001	200.0	2500.0	BOAN	0.84	SMA03393_20210602_190000.wav
2	Spectrogram 1	1	9.2	11.19899999999991	200.0	2500.0	BOAN	0.89	SMA03393_20210602_190000.wav
3	Spectrogram 1	1	10.0	11.999000000000024	200.0	2500.0	BOAN	0.87	SMA03393_20210602_190000.wav
4	Spectrogram 1	1	18.8	20.799000000000024	200.0	2500.0	BOAN	0.89	SMA03393_20210602_190000.wav
5	Spectrogram 1	1	21.2	23.19899999999991	200.0	2500.0	BOAN	0.75	SMA03393_20210602_190000.wav
6	Spectrogram 1	1	22.0	23.999000000000024	200.0	2500.0	BOAN	0.9	SMA03393_20210602_190000.wav
7	Spectrogram 1	1	28.0	29.999000000000024	200.0	2500.0	BOAN	0.92	SMA03393_20210602_190000.wav
8	Spectrogram 1	1	33.2	35.19899999999991	200.0	2500.0	BOAN	0.75	SMA03393_20210602_190000.wav
9	Spectrogram 1	1	34.4	36.39900000000002	200.0	2500.0	BOAN	0.77	SMA03393_20210602_190000.wav
10	Spectrogram 1	1	37.6	39.599000000000025	200.0	2500.0	BOAN	0.84	SMA03393_20210602_190000.wav
11	Spectrogram 1	1	38.4	40.39900000000002	200.0	2500.0	BOAN	0.79	SMA03393_20210602_190000.wav
12	Spectrogram 1	1	39.2	41.19899999999991	200.0	2500.0	BOAN	0.75	SMA03393_20210602_190000.wav
13	Spectrogram 1	1	40.0	41.999000000000024	200.0	2500.0	BOAN	0.88	SMA03393_20210602_190000.wav
14	Spectrogram 1	1	41.6	43.999	200.0	2500.0	BOAN	0.87	SMA03393_20210602_190000.wav
15	Spectrogram 1	1	47.6	49.599000000000025	200.0	2500.0	BOAN	0.87	SMA03393_20210602_190000.wav
16	Spectrogram 1	1	55.2	57.19899999999991	200.0	2500.0	BOAN	0.89	SMA03393_20210602_190000.wav
17	Spectrogram 1	1	57.6	59.599000000000025	200.0	2500.0	BOAN	0.9	SMA03393_20210602_190000.wav
1	Spectrogram 1	1	1.2	3.19899999999991	200.0	2500.0	BOAN	0.81	SMA03326_20210611_183000.wav
2	Spectrogram 1	1	2.0	3.9990000000000236	200.0	2500.0	BOAN	0.77	SMA03326_20210611_183000.wav
3	Spectrogram 1	1	10.8	12.799000000000024	200.0	2500.0	BOAN	0.78	SMA03326_20210611_183000.wav
4	Spectrogram 1	1	14.4	16.399000000000022	200.0	2500.0	BOAN	0.87	SMA03326_20210611_183000.wav
5	Spectrogram 1	1	19.2	21.19899999999991	200.0	2500.0	BOAN	0.81	SMA03326_20210611_183000.wav
6	Spectrogram 1	1	20.0	22.399	200.0	2500.0	BOAN	0.78	SMA03326_20210611_183000.wav
7	Spectrogram 1	1	21.2	23.19899999999991	200.0	2500.0	BOAN	0.78	SMA03326_20210611_183000.wav
8	Spectrogram 1	1	34.8	36.79900000000002	200.0	2500.0	BOAN	0.76	SMA03326_20210611_183000.wav
9	Spectrogram 1	1	35.6	38.79899999999996	200.0	2500.0	BOAN	0.9	SMA03326_20210611_183000.wav
10	Spectrogram 1	1	37.6	39.599000000000025	200.0	2500.0	BOAN	0.89	SMA03326_20210611_183000.wav
11	Spectrogram 1	1	40.0	41.999000000000024	200.0	2500.0	BOAN	0.8	SMA03326_20210611_183000.wav
12	Spectrogram 1	1	40.8	42.79900000000002	200.0	2500.0	BOAN	0.87	SMA03326_20210611_183000.wav
13	Spectrogram 1	1	50.0	52.399	200.0	2500.0	BOAN	0.86	SMA03326_20210611_183000.wav
14	Spectrogram 1	1	51.2	53.19899999999991	200.0	2500.0	BOAN	0.84	SMA03326_20210611_183000.wav
15	Spectrogram 1	1	53.6	55.599000000000025	200.0	2500.0	BOAN	0.79	SMA03326_20210611_183000.wav
